PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
Scottie Scheffler,13700,0.808274843796025,7.4,30.4,2.25,100.0,1.0,3218,1,2,1,55,15,3,25,1,5,14,77,27,3,3
Si Woo Kim,8900,0.7335377739928318,41.7,70.2,40.0,72.2,59.0,759,14,38,45,14,129,17,153,11,1,70,137,30,61,58
Daniel Berger,9900,0.7028856839310529,31.4,28.4,20.0,85.0,25.0,1473,4,17,15,34,76,67,145,6,70,11,92,9,33,13
Aaron Rai,9100,0.6569959577236799,31.3,37.3,30.0,85.7,28.0,785,21,35,20,107,96,27,179,6,25,75,169,1,16,131
Maverick McNealy,9500,0.6506789771846802,37.3,42.2,30.0,77.3,11.0,2139,54,54,34,140,41,51,95,35,61,84,67,107,29,138
J.J. Spaun,8400,0.6458151509382317,37.0,83.3,50.0,81.0,27.0,1359,17,55,4,130,80,62,40,35,70,6,50,46,24,124
Hideki Matsuyama,9600,0.6036225533906261,36.6,60.6,25.0,78.6,7.0,1059,15,120,31,5,63,44,10,48,40,161,96,139,83,4
Tommy Fleetwood,10000,0.5855450473438889,20.5,62.5,25.0,100.0,14.0,1272,10,51,12,22,68,55,161,11,81,66,129,35,114,69
Ryan Gerard,7900,0.5707956893958628,31.1,60.6,70.0,92.9,74.0,741,34,66,26,91,30,49,33,11,96,58,78,81,90,48
Ben Griffin,8700,0.5665572239940679,41.0,71.0,50.0,79.2,52.0,912,46,77,52,71,89,90,56,66,54,61,67,95,22,116
Brian Harman,8500,0.5600869049561544,38.8,31.3,50.0,88.2,24.0,1069,60,106,69,52,112,117,33,84,114,116,158,39,41,82
Jhonattan Vegas,7200,0.47523579464014576,49.4,58.3,100.0,72.2,49.0,894,49,63,55,87,123,37,95,84,81,75,34,136,44,117
Harris English,9200,0.43072144158673237,41.6,53.0,35.0,78.9,17.0,1507,77,63,83,125,22,143,95,48,123,29,74,60,51,59
Michael Kim,8300,0.4262983119392561,43.9,62.0,60.0,68.2,55.0,1176,19,81,50,10,118,141,145,22,54,122,93,110,105,19
J.T. Poston,9400,0.42287144031885787,29.8,57.4,40.0,94.1,35.0,792,45,93,58,43,107,60,95,48,70,89,151,26,101,73
Akshay Bhatia,8000,0.41031043976446446,37.4,73.0,60.0,78.6,30.0,932,96,118,46,153,9,6,10,22,160,140,157,55,54,156
Jordan Spieth,9800,0.40765283928478124,38.4,26.6,25.0,84.6,51.0,598,36,45,71,44,57,56,111,48,25,34,57,85,82,47
