Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Scottie Scheffler (43930074),Scottie Scheffler,43930074,G,14000,TOUR Championship,Golf,100,
G,Rory McIlroy (43930075),Rory McIlroy,43930075,G,11000,TOUR Championship,Golf,79.9,
G,Xander Schauffele (43930076),Xander Schauffele,43930076,G,10000,TOUR Championship,Golf,72.8,
G,Ludvig Aberg (43930077),Ludvig Aberg,43930077,G,9700,TOUR Championship,Golf,74.8,
G,Wyndham Clark (43930078),Wyndham Clark,43930078,G,9400,TOUR Championship,Golf,77.8,
G,Sam Burns (43930079),Sam Burns,43930079,G,9200,TOUR Championship,Golf,75.9,
G,Tommy Fleetwood (43930080),Tommy Fleetwood,43930080,G,9000,TOUR Championship,Golf,76.3,
G,Patrick Cantlay (43930081),Patrick Cantlay,43930081,G,8900,TOUR Championship,Golf,71.3,
G,Cameron Young (43930082),Cameron Young,43930082,G,8500,TOUR Championship,Golf,80.4,
G,Collin Morikawa (43930083),Collin Morikawa,43930083,G,8100,TOUR Championship,Golf,75.8,
G,Chris Gotterup (43930084),Chris Gotterup,43930084,G,7900,TOUR Championship,Golf,78.6,
G,Matt Fitzpatrick (43930085),Matt Fitzpatrick,43930085,G,7800,TOUR Championship,Golf,82.4,
G,Si Woo Kim (43930086),Si Woo Kim,43930086,G,7700,TOUR Championship,Golf,83.2,
G,Hideki Matsuyama (43930087),Hideki Matsuyama,43930087,G,7600,TOUR Championship,Golf,78.8,
G,Russell Henley (43930088),Russell Henley,43930088,G,7500,TOUR Championship,Golf,74.2,
G,Ryan Gerard (43930089),Ryan Gerard,43930089,G,7400,TOUR Championship,Golf,73.8,
G,Viktor Hovland (43930090),Viktor Hovland,43930090,G,7300,TOUR Championship,Golf,69.6,
G,J.J. Spaun (43930091),J.J. Spaun,43930091,G,7200,TOUR Championship,Golf,63.1,
G,Robert MacIntyre (43930092),Robert MacIntyre,43930092,G,7100,TOUR Championship,Golf,70.5,
G,Jacob Bridgeman (43930093),Jacob Bridgeman,43930093,G,7000,TOUR Championship,Golf,76.8,
G,Justin Rose (43930094),Justin Rose,43930094,G,6900,TOUR Championship,Golf,65.6,
G,Tom Kim (43930095),Tom Kim,43930095,G,6800,TOUR Championship,Golf,73.9,
G,Min Woo Lee (43930096),Min Woo Lee,43930096,G,6700,TOUR Championship,Golf,72.9,
G,Gary Woodland (43930097),Gary Woodland,43930097,G,6600,TOUR Championship,Golf,64.2,
G,Adam Scott (43930098),Adam Scott,43930098,G,6500,TOUR Championship,Golf,72.9,
G,Kristoffer Reitan (43930099),Kristoffer Reitan,43930099,G,6400,TOUR Championship,Golf,66.3,
G,Alex Smalley (43930100),Alex Smalley,43930100,G,6300,TOUR Championship,Golf,67.7,
G,Alex Fitzpatrick (43930101),Alex Fitzpatrick,43930101,G,6200,TOUR Championship,Golf,73,
G,Akshay Bhatia (43930102),Akshay Bhatia,43930102,G,6100,TOUR Championship,Golf,63.5,
G,Ryan Fox (43930103),Ryan Fox,43930103,G,6000,TOUR Championship,Golf,68.5,
