PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
Rory McIlroy,11900,0.9311493253235069,11.8,-,4.5,100.0,2.0,2636,3,1,39,41,6,9,14,4,9,83,3,170,50,10
Shane Lowry,9900,0.8853262792895326,29.3,-,20.0,83.3,12.0,1318,2,49,3,22,96,76,14,39,138,80,147,25,48,26
Ryo Hisatsune,7600,0.8572845211210263,46.9,-,80.0,68.4,84.0,561,36,88,45,34,74,130,8,73,74,164,130,105,51,16
Nick Taylor,8800,0.7929830765129691,43.7,-,50.0,73.7,32.0,1280,39,123,13,69,72,86,37,11,124,99,164,20,12,35
Harry Hall,9200,0.7325401706582034,34.9,-,40.0,83.3,85.0,717,67,111,105,19,4,7,37,4,50,113,88,104,81,29
Mackenzie Hughes,8900,0.6684393372074726,48.4,-,40.0,68.4,50.0,814,90,138,117,21,88,129,51,112,108,145,95,124,111,60
Alex Noren,8500,0.6569324454921472,35.7,-,50.0,100.0,73.0,104,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Ryan Fox,7700,0.5469865368957445,48.5,-,70.0,78.6,75.0,301,40,86,35,72,77,43,141,56,68,107,56,131,119,150
Alex Smalley,7600,0.5067620294142247,47.5,-,60.0,65.0,117.0,584,9,13,63,10,40,31,107,3,60,2,50,30,34,14
Corey Conners,10100,0.4760638107988105,27.5,-,18.0,93.3,21.0,1439,30,9,58,111,61,64,96,23,74,65,151,13,18,70
Sungjae Im,9400,0.43252772338652656,39.3,-,30.0,77.8,22.0,1112,79,17,173,6,28,10,133,14,18,55,153,8,153,45
Tom Kim,7300,0.389975916061584,57.1,-,80.0,66.7,49.0,308,75,129,57,77,136,148,163,124,138,47,82,75,146,110
Keith Mitchell,9100,0.3788098754859019,46.3,-,40.0,66.7,89.0,663,31,7,59,134,64,6,119,4,9,15,11,94,21,69
Doug Ghim,7300,0.3615608068216126,46.5,-,90.0,80.0,120.0,630,19,42,20,67,175,111,29,73,108,52,94,65,35,118
Max McGreevy,6900,0.3167786046285763,57.7,-,150.0,53.3,87.0,276,47,34,48,124,133,113,119,94,40,33,120,18,73,146
Ricky Castillo,7200,0.29829870902862626,55.0,-,100.0,63.6,206.0,216,23,24,46,63,152,83,154,8,60,16,32,75,10,23
Seamus Power,7300,0.28922926636615526,56.2,-,100.0,50.0,129.0,405,68,109,78,54,142,132,8,152,87,65,110,54,99,43
David Ford,6600,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Frankie Capan,6200,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Ashton McCulloch,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Anders Albertson,6100,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Brett Webster,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Aaron Wise,6500,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Cougar Collins,6100,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
David Hearn,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Robert Macintyre,9800,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Niklas Norgaard Moller,7500,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Rasmus Hojgaard,8000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Nicolai Hojgaard,7400,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Matthew McCarty,7200,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Josh Goldenberg,6100,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
Matthew Scobie,6000,0.28792080283729454,90.0,-,1000.0,51.5,1000.0,0,107,103,103,103,99,102,92,95,96,102,100,96,95,99
