PLAYER,SALARY,P_TOP20,SCORE,MODEL_SCORE,ODDS_SHARE,LEVERAGE,VEGAS_ODDS,SG_FORM,PCT_FORM_SHRUNK,SG_CH_SHRUNK,CUT_PERCENTAGE,FEDEX_CUP_POINTS,OWGR_RANK
Cameron Young,10400,0.59,1.0,0.7989,0.0706,0.0,9.0,1.31,0.291,2.51,100.0,3157.0,19.0
Jackson Koivun,10100,0.495,0.9933,0.7636,0.0471,0.0,14.0,1.57,0.374,1.86,75.0,522.0,178.0
Hideki Matsuyama,9500,0.478,0.9866,0.7398,0.0336,0.0,20.0,0.96,0.298,0.14,100.0,1319.0,17.0
Justin Thomas,9400,0.432,0.9748,0.7207,0.0228,1.5,30.0,0.66,0.367,1.43,92.9,959.0,9.0
Ryan Gerard,9300,0.42,0.9765,0.7138,0.0271,-1.0,25.0,0.89,0.379,-0.49,81.8,1492.0,44.0
Ben Griffin,9100,0.416,0.9681,0.7099,0.0228,-0.5,30.0,0.87,0.399,1.48,77.3,1063.0,8.0
Tom Kim,9200,0.378,0.9446,0.6904,0.0196,-3.5,35.0,0.81,0.362,-1.51,88.2,1084.0,107.0
Maverick McNealy,9000,0.373,0.9396,0.6932,0.0172,2.0,40.0,0.73,0.35,-0.63,88.9,773.0,21.0
Aaron Rai,8800,0.363,0.9346,0.687,0.0196,-6.5,35.0,0.45,0.487,1.42,66.7,1040.0,23.0
Alex Fitzpatrick,8700,0.361,0.9161,0.6794,0.0172,-5.0,40.0,0.87,0.32,0.0,88.9,1003.0,203.0
Doug Ghim,7800,0.355,0.9262,0.6896,0.0172,-2.0,40.0,0.86,0.364,0.04,70.6,442.0,148.0
Keegan Bradley,8900,0.354,0.9279,0.7014,0.0138,9.5,50.0,0.53,0.436,0.47,80.0,540.0,15.0
Davis Thompson,8400,0.347,0.9295,0.6897,0.0172,-1.0,40.0,0.64,0.396,1.16,68.8,324.0,92.0
