name,player_id,evidence
Angel Hidalgo Portillo,64594,golf.db round scores = Angel Hidalgo in 3 event(s)
Bruce Doucett,56286,golf.db round scores = BJ Doucett in 1 event(s)
Charles Osborne,57633,golf.db round scores = Ollie Osborne in 1 event(s)
Chun-an Yu,45242,golf.db round scores = Kevin Yu in 10 event(s)
Emilio Gonzalez R.,59567,golf.db round scores = Emilio Gonzalez in 1 event; the trailing R. is his second surname
Jae Yong Kim,46103,golf.db round scores = Daniel Kim in 2 event(s)
Jinho Chung,54530,golf.db round scores = Henry Chung in 3 event(s)
Jonathan Grey,51865,golf.db round scores = J.J. Grey in 1 event(s)
Joohyung Kim,55182,golf.db round scores = Tom Kim in 14 event(s)
Jose Luis Ballester Barrio,60165,golf.db round scores = Jose Luis Ballester in 3 event(s)
Juan Diego Fernandez,36634,golf.db round scores = JD Fernandez in 1 event(s)
Matthias Schmid,48867,golf.db round scores = Matti Schmid in 3 event(s)
McClure Meissner,59143,golf.db round scores = Mac Meissner in 12 event(s)
Nicholas Jones,64053,golf.db round scores = Nick Jones in 2 event(s)
Niklas Nrgaard,35706,golf.db round scores = Niklas Nørgaard in 3 event(s)
Ockert Strydom,33023,golf.db round scores = Ockie Strydom in 4 event(s)
Seonghyeon Kim,50188,golf.db round scores = S.H. Kim in 3 event(s)
Shi Kim,39882,golf.db round scores = Alex Kim in 2 event(s)
Steve Han,27324,golf.db round scores = Seungsu Han in 4 event(s)
Thaya Lim,54323,golf.db round scores = Mo Lim in 1 event(s)
Timothy Crouch,47131,golf.db round scores = T.T. Crouch in 1 event(s)
Tomas Gana,47061,golf.db round scores = Toto Gana in 1 event(s)
Wen-Chong Liang,24748,golf.db round scores = WC Liang in 5 event(s)
William Furr,56149,golf.db round scores = Wilson Furr in 19 event(s)
Yeon Jin Jeong,32878,golf.db round scores = Jin Jeong in 1 event(s)
Zhengkai Bai,39831,golf.db round scores = Bobby Bai in 1 event(s)
