Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Jackson Koivun (44134902),Jackson Koivun,44134902,G,10500,Biltmore Championship Asheville,Golf,78.0,
G,Jacob Bridgeman (44134903),Jacob Bridgeman,44134903,G,10300,Biltmore Championship Asheville,Golf,77.7,
G,Doug Ghim (44134904),Doug Ghim,44134904,G,10000,Biltmore Championship Asheville,Golf,67.2,
G,Rasmus Højgaard (44134905),Rasmus Højgaard,44134905,G,9800,Biltmore Championship Asheville,Golf,67.4,
G,Davis Thompson (44134906),Davis Thompson,44134906,G,9700,Biltmore Championship Asheville,Golf,64.8,
G,Benjamin James (44134907),Benjamin James,44134907,G,9500,Biltmore Championship Asheville,Golf,77.1,
G,Corey Conners (44134908),Corey Conners,44134908,G,9400,Biltmore Championship Asheville,Golf,65.0,
G,Keita Nakajima (44134909),Keita Nakajima,44134909,G,9300,Biltmore Championship Asheville,Golf,59.2,
G,Kevin Yu (44134910),Kevin Yu,44134910,G,9200,Biltmore Championship Asheville,Golf,63.5,
G,Eric Cole (44134911),Eric Cole,44134911,G,9100,Biltmore Championship Asheville,Golf,64.7,
G,Mac Meissner (44134912),Mac Meissner,44134912,G,9000,Biltmore Championship Asheville,Golf,65.0,
G,J.T. Poston (44134913),J.T. Poston,44134913,G,8900,Biltmore Championship Asheville,Golf,61.3,
G,Blades Brown (44134914),Blades Brown,44134914,G,8800,Biltmore Championship Asheville,Golf,81.6,
G,Johnny Keefer (44134915),Johnny Keefer,44134915,G,8700,Biltmore Championship Asheville,Golf,57.9,
G,Beau Hossler (44134916),Beau Hossler,44134916,G,8600,Biltmore Championship Asheville,Golf,65.8,
G,Ryo Hisatsune (44134917),Ryo Hisatsune,44134917,G,8500,Biltmore Championship Asheville,Golf,70.8,
G,Marco Penge (44134918),Marco Penge,44134918,G,8400,Biltmore Championship Asheville,Golf,61.3,
G,Denny McCarthy (44134919),Denny McCarthy,44134919,G,8300,Biltmore Championship Asheville,Golf,61.3,
G,Jackson Suber (44134920),Jackson Suber,44134920,G,8200,Biltmore Championship Asheville,Golf,66.9,
G,Christiaan Bezuidenhout (44134921),Christiaan Bezuidenhout,44134921,G,8100,Biltmore Championship Asheville,Golf,71.0,
G,Kevin Roy (44134923),Kevin Roy,44134923,G,8000,Biltmore Championship Asheville,Golf,64.4,
G,Pierceson Coody (44134922),Pierceson Coody,44134922,G,8000,Biltmore Championship Asheville,Golf,58.4,
G,Nick Taylor (44134924),Nick Taylor,44134924,G,7900,Biltmore Championship Asheville,Golf,65.3,
G,Taylor Pendrith (44134925),Taylor Pendrith,44134925,G,7900,Biltmore Championship Asheville,Golf,58.9,
G,Andrew Novak (44134927),Andrew Novak,44134927,G,7800,Biltmore Championship Asheville,Golf,55.7,
G,Michael Kim (44134926),Michael Kim,44134926,G,7800,Biltmore Championship Asheville,Golf,61.2,
G,Ben Kohles (44134929),Ben Kohles,44134929,G,7700,Biltmore Championship Asheville,Golf,73.7,
G,Rico Hoey (44134928),Rico Hoey,44134928,G,7700,Biltmore Championship Asheville,Golf,62.5,
G,Billy Horschel (44134931),Billy Horschel,44134931,G,7600,Biltmore Championship Asheville,Golf,54.4,
G,Mackenzie Hughes (44134932),Mackenzie Hughes,44134932,G,7600,Biltmore Championship Asheville,Golf,62.8,
G,Max Greyserman (44134930),Max Greyserman,44134930,G,7600,Biltmore Championship Asheville,Golf,57.3,
G,Ricky Castillo (44134934),Ricky Castillo,44134934,G,7500,Biltmore Championship Asheville,Golf,71.5,
G,Stephan Jaeger (44134933),Stephan Jaeger,44134933,G,7500,Biltmore Championship Asheville,Golf,60.5,
G,Zachary Bauchou (44134935),Zachary Bauchou,44134935,G,7500,Biltmore Championship Asheville,Golf,66.1,
G,Chris Kirk (44134937),Chris Kirk,44134937,G,7400,Biltmore Championship Asheville,Golf,57.6,
G,Emiliano Grillo (44134936),Emiliano Grillo,44134936,G,7400,Biltmore Championship Asheville,Golf,57.0,
