PLAYER,SALARY,PROBABILITY,RECENT_FORM,COURSE_HISTORY,VEGAS_ODDS,CUT_PERCENTAGE,OWGR_RANK,FEDEX_CUP_POINTS,SGTTG_RANK,SGOTT_RANK,SGAPR_RANK,SGATG_RANK,SGP_RANK,BIRDIES_RANK,PAR_3_RANK,PAR_4_RANK,PAR_5_RANK,TOTAL_DRIVING_RANK,DRIVING_DISTANCE_RANK,DRIVING_ACCURACY_RANK,GIR_RANK,SCRAMBLING_RANK
Shane Lowry,8700,0.7977110599796944,29.9,40.8,35.0,81.8,14.0,1273,2,34,6,18,86,58,9,19,139,77,142,28,67,20
Justin Thomas,10100,0.7749070696604785,21.1,46.8,20.0,92.9,5.0,2044,8,100,5,21,17,1,84,2,36,67,55,111,43,114
Daniel Berger,8600,0.7650649911143828,34.2,47.5,35.0,81.0,28.0,1473,4,12,15,32,100,73,145,5,75,13,95,8,25,16
Collin Morikawa,9900,0.7409749647837427,23.7,46.4,16.0,100.0,4.0,1241,6,22,7,76,54,3,2,32,22,49,153,2,19,105
Scottie Scheffler,13300,0.7289510800074109,7.4,7.3,2.75,100.0,1.0,2801,1,2,1,63,23,4,30,1,1,7,68,26,3,2
Hideki Matsuyama,9000,0.6829340336618445,39.1,32.5,30.0,78.6,7.0,1073,17,103,30,6,61,49,9,44,29,148,92,130,77,3
Patrick Cantlay,9500,0.6538853139029353,24.0,23.0,20.0,91.7,15.0,1031,11,29,10,80,83,15,125,3,70,41,75,76,2,133
Keegan Bradley,8000,0.6389270264537774,27.5,54.4,50.0,92.3,18.0,798,5,23,13,19,148,63,135,19,58,18,65,45,55,105
Si Woo Kim,8300,0.5828626476269883,40.5,18.4,40.0,72.2,59.0,758,14,39,52,12,118,18,135,19,1,69,134,33,71,38
Sepp Straka,8800,0.5441800504435393,31.8,43.4,40.0,75.0,9.0,2098,9,52,2,126,28,2,3,12,1,47,142,11,1,79
Jordan Spieth,8500,0.5420306616169468,35.9,34.4,50.0,84.6,51.0,601,29,30,75,44,69,72,135,32,22,25,43,81,73,58
Tommy Fleetwood,9400,0.5270446114036781,18.8,20.0,20.0,100.0,12.0,1255,7,43,11,17,55,55,151,12,75,39,118,31,115,50
Ben Griffin,7800,0.5214425253508446,38.9,90.0,60.0,79.2,24.0,1384,38,68,48,60,63,70,55,44,48,69,70,97,20,101
Sungjae Im,8100,0.49903914860492105,40.6,49.3,50.0,76.5,21.0,1043,89,18,172,14,25,10,145,12,9,52,148,10,123,61
Russell Henley,8400,0.4587022593004261,31.2,40.5,50.0,83.3,8.0,1418,28,128,28,15,35,14,1,12,107,109,174,15,4,103
Andrew Novak,7100,0.43892989484542566,46.5,49.2,70.0,59.1,33.0,1501,30,53,87,9,82,112,151,96,9,143,96,124,165,21
Aaron Rai,7600,0.41581196296016215,36.6,58.0,40.0,78.6,30.0,577,19,26,19,104,119,38,176,5,29,79,170,1,7,129
Harris English,7800,0.3993884176571579,41.2,61.3,60.0,78.9,16.0,1495,67,53,88,110,34,145,102,64,107,30,88,47,58,55
Tony Finau,8200,0.3667160783950131,45.3,30.2,50.0,69.2,37.0,615,53,38,93,62,96,34,84,44,119,33,59,84,55,126
Davis Thompson,7000,0.361196384509456,49.5,41.5,100.0,70.6,56.0,434,44,24,112,43,143,30,112,77,17,20,72,46,28,99
Michael Kim,6800,0.354211091135765,42.7,90.0,100.0,69.6,53.0,1224,18,55,51,13,115,136,135,19,36,97,82,101,98,13
Adam Scott,7200,0.3439693459747012,44.9,25.8,100.0,80.0,41.0,238,73,65,125,56,90,67,135,115,36,119,79,120,112,116
Corey Conners,9100,0.3349693287015822,27.6,43.8,30.0,92.9,20.0,1402,24,11,39,107,80,75,102,12,83,50,145,11,9,46
Akshay Bhatia,7300,0.3316740437426353,38.1,56.0,80.0,78.6,31.0,731,85,107,35,154,9,6,7,32,162,141,157,61,46,158
Wyndham Clark,7200,0.3287691191138065,45.4,63.8,90.0,78.6,22.0,353,72,89,130,23,81,28,145,44,36,44,17,135,91,104
Cam Davis,6300,0.3162127000786327,60.1,74.6,200.0,46.7,69.0,596,118,154,103,32,105,11,16,164,48,166,80,164,121,168
Maverick McNealy,7700,0.3003724440046553,40.9,90.0,60.0,72.7,11.0,1902,56,58,43,131,51,54,102,44,58,87,69,105,26,143
J.J. Spaun,7500,0.29987504825843975,35.5,70.0,50.0,81.8,25.0,1445,12,51,4,119,74,60,55,19,75,6,50,42,23,92
Ryan Fox,6500,0.29720667431477177,50.7,60.0,150.0,76.9,78.0,250,41,83,42,68,75,36,135,44,48,89,49,126,127,131
Bud Cauley,6800,0.28343280044243835,29.6,47.7,100.0,92.9,57.0,923,20,42,23,65,22,44,84,10,95,119,74,125,75,23
